0,02542,"Aucun Email renseigné pour cet utilisateur"
0,04099,"Aucun Email renseigné pour cet utilisateur"
0,06045,"Aucun Email renseigné pour cet utilisateur"
0,25355,"Aucun Email renseigné pour cet utilisateur"
0,26173,"Aucun Email renseigné pour cet utilisateur"
"mairie-corneuil@wanadoo.fr",27172,"Aucune correspondance avec la base de donnée du gouvernement"
0,27621,"Aucun Email renseigné pour cet utilisateur"
"mairie.plouneour-trez@wanadoo.fr",29203,"Aucune correspondance avec la base de donnée du gouvernement"
0,31437,"Aucun Email renseigné pour cet utilisateur"
0,34061,"Aucun Email renseigné pour cet utilisateur"
0,34278,"Aucun Email renseigné pour cet utilisateur"
"mairie.prinsuejols@orange.fr",48120,"Aucune correspondance avec la base de donnée du gouvernement"
"mairie-coudekerque-village@wanadoo.fr",59154,"Aucune correspondance avec la base de donnée du gouvernement"
0,64207,"Aucun Email renseigné pour cet utilisateur"
"communebernwiller@orange.fr",68031,"Aucune correspondance avec la base de donnée du gouvernement"
0,70089,"Aucun Email renseigné pour cet utilisateur"
0,70293,"Aucun Email renseigné pour cet utilisateur"
"mairie.miellin@orange.fr",70345,"Aucune correspondance avec la base de donnée du gouvernement"
0,70352,"Aucun Email renseigné pour cet utilisateur"
0,70430,"Aucun Email renseigné pour cet utilisateur"
0,70440,"Aucun Email renseigné pour cet utilisateur"
0,70443,"Aucun Email renseigné pour cet utilisateur"
0,77034,"Aucun Email renseigné pour cet utilisateur"
0,83022,"Aucun Email renseigné pour cet utilisateur"
"commune.de.girmont@wanadoo.fr",88204,"Aucune correspondance avec la base de donnée du gouvernement"
0,88370,"Aucun Email renseigné pour cet utilisateur"
0,88496,"Aucun Email renseigné pour cet utilisateur"
0,57247,"Aucun Email renseigné pour cet utilisateur"
0,02149,"Aucun Email renseigné pour cet utilisateur"
0,64507,"Aucun Email renseigné pour cet utilisateur"
0,04043,"Aucun Email renseigné pour cet utilisateur"
