"API ne trouve pas",01316,NOT
"API ne trouve pas",14749,NOT
"API ne trouve pas",15145,NOT
"API ne trouve pas",20083,NOT
"API ne trouve pas",20270,NOT
"API ne trouve pas",24065,NOT
"API ne trouve pas",24579,NOT
"API ne trouve pas",25028,NOT
"API ne trouve pas",25076,NOT
"API ne trouve pas",25123,NOT
"API ne trouve pas",25128,NOT
"API ne trouve pas",25302,NOT
"API ne trouve pas",25319,NOT
"API ne trouve pas",25480,NOT
"API ne trouve pas",25509,NOT
"API ne trouve pas",25530,NOT
"API ne trouve pas",25576,NOT
"API ne trouve pas",25585,NOT
"API ne trouve pas",25593,NOT
"API ne trouve pas",BERNIÈRES-SUR-SEINE,27058,NOT
"API ne trouve pas",BERTHENONVILLE,27060,NOT
"API ne trouve pas",CORNEUIL,27172,NOT
"API ne trouve pas",FRANCHEVILLE,27265,NOT
"API ne trouve pas",CHÂTILLON-EN-DUNOIS,28093,NOT
"PLOUNEOUR TREZ",29203,NOT,"API ne trouve pas"
ROSPIGLIANI,2b263,NOT,"API ne trouve pas"
COGLÈS,35083,"API ne trouve pas"
LOUESTAULT,37135,"API ne trouve pas"
BOURRÉ,41023,"API ne trouve pas"
ORCHAISE,41169,"API ne trouve pas"
SAINT-AIGNAN-DES-GUÉS,45267,"API ne trouve pas"
MAS-D'ORCIÈRES,48093,"API ne trouve pas"
PRINSUÉJOLS,48120,"API ne trouve pas"
"LE BOURG-D'IRÉ",49037,"API ne trouve pas"
BOUZILLÉ,49040,"API ne trouve pas"
BROC,49052,"API ne trouve pas"
"LA CORNUAILLE",49108,"API ne trouve pas"
DAUMERAY,49119,"API ne trouve pas"
DÉNEZÉ-SOUS-LE-LUDE,49122,"API ne trouve pas"
"LA FERRIÈRE-DE-FLÉE",49136,"API ne trouve pas"
L'HÔTELLERIE-DE-FLÉE,49158,"API ne trouve pas"
MÉON,49202,"API ne trouve pas"
NOËLLET,49226,"API ne trouve pas"
SAINT-CHRISTOPHE-LA-COUPERIE,49270,"API ne trouve pas"
ARGOUGES,50018,"API ne trouve pas"
BION,50056,"API ne trouve pas"
BIVILLE,50057,"API ne trouve pas"
CARNET,50100,"API ne trouve pas"
JOBOURG,50257,"API ne trouve pas"
OMONVILLE-LA-PETITE,50385,"API ne trouve pas"
OMONVILLE-LA-ROGUE,50386,"API ne trouve pas"
VAUVILLE,50623,"API ne trouve pas"
"COUDEKERQUE VILLAGE",59154,"API ne trouve pas"
BOCQUENCÉ,61047,"API ne trouve pas"
"SAINT DIDIER SOUS RIVERIE",69195,"API ne trouve pas"
"SAINT SORLIN",69237,"API ne trouve pas"
MIELLIN,70345,"API ne trouve pas"
"CRÉ SUR LOIR",72108,"API ne trouve pas"
"PONCÉ SUR LE LOIR",72240,"API ne trouve pas"
BRAMANS,73056,"API ne trouve pas"
MONTAIMONT,73163,"API ne trouve pas"
GIRMONT,88204,"API ne trouve pas"
HARSAULT,88234,"API ne trouve pas"
ACCOLAY,89001,"API ne trouve pas"
CHAMPVALLON,89078,"API ne trouve pas"
MOLESMES,89260,"API ne trouve pas"
VILLIERS-SUR-THOLON,89473,"API ne trouve pas"
VOLGRÉ,89484,"API ne trouve pas"
VILLERON,xxxxx,"API ne trouve pas"
